Date,Month,Day of Week,Place,Drink,Topping,Type 
8/11/2023,August,Friday,Ti Bear,Strawberry Matcha Latte,None,Milk
8/16/2023,August,Wednesday,TP Tea,Passion Fruit Green Tea,Boba,Fruit
8/17/2023,August,Thursday,TP Tea,Boba Milk Tea,Boba,Milk
8/18/2023,August,Friday,Mr. Sun,Mango Green Tea,Boba,Fruit
8/21/2023,August,Monday,TP Tea,Strawberry Milk Tea,Boba,Milk
8/21/2023,August,Monday,Tisane,Peach Please,Boba,Fruit
8/22/2023,August,Tuesday,Tpumps,"Passion Fruit, Guava, Pineapple Green Tea",Boba,Fruit
8/24/2023,August,Thursday,Rabbit Rabbit Tea,Lychee Jasmine Green Milk Tea,Boba,Milk
8/25/2023,August,Friday,TP Tea,Mango Boba Milk Tea,Boba,Milk
9/2/2023,September,Saturday,TP Tea,Mango Boba Milk Tea,Boba,Milk
9/3/2023,September,Sunday,Ten Ren,Black Milk Tea,Boba,Milk
9/4/2023,September,Monday,Tea Era,Passion Fruit Green Tea,Boba,Fruit
9/6/2023,September,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
9/12/2023,September,Tuesday,Sunright,Grapefruit Green Tea,Boba,Fruit
9/15/2023,September,Friday,TP Tea,Boba Milk Tea,Boba,Milk
9/16/2023,September,Saturday,Beastea,Black Milk Tea,Boba,Milk
9/17/2023,September,Sunday,Tpumps,"Passion Fruit, Mango, Peach Green Tea",Boba,Fruit
9/18/2023,September,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
9/20/2023,September,Wednesday,Moge Tee,Matcha Creme Brulee,Boba,Milk
9/22/2023,September,Friday,Boba Gem,Mango Green Tea,Boba,Fruit
9/29/2023,September,Friday,Boba Up,Black Milk Tea,Boba,Milk
10/1/2023,October,Sunday,Don't Yell At Me,Mango Green Tea,Boba,Fruit
10/4/2023,October,Wednesday,Boba Gem,Mango Green Tea,Boba,Fruit
10/6/2023,October,Friday,Ding Tea,Oolong Milk Tea,Boba,Milk
10/8/2023,October,Sunday,Sunright,Strawberry Matcha Latte,Boba,Milk
10/13/2023,October,Friday,Boba Gem,Mango Green Tea,Boba,Fruit
10/15/2023,October,Sunday,Seattle Best Tea,Passion Fruit Green Tea,Boba,Fruit
10/20/2023,October,Friday,Boba Gem,Black Milk Tea,Boba,Milk
10/22/2023,October,Sunday,Oasis,Passion Fruit Green Tea,Boba,Fruit
10/23/2023,October,Monday,Boba Gem,Mango Green Tea,Boba,Fruit
10/26/2023,October,Thursday,Don't Yell At Me,Traditional Milk Tea,Boba,Milk
11/11/2023,November,Saturday,Seattle Best Tea,Mango Green Tea,Boba,Fruit
11/18/2023,November,Saturday,Boba Lust,House Milk Tea,"Boba, Jelly",Milk
11/24/2023,November,Friday,Tea Era,Strawberry Matcha Latte,"Boba, Jelly",Milk
11/24/2023,November,Friday,Tpumps,"Passion Fruit, Guava, Pineapple Green Tea",Boba,Fruit
11/25/2023,November,Saturday,Ten Ren,Mango Green Tea,Boba,Fruit
11/25/2023,November,Saturday,Gong Cha,Strawberry Milk Tea,Boba,Milk
11/25/2023,November,Saturday,Tea Era,Strawberry Matcha Latte,"Boba, Jelly",Milk
12/3/2023,December,Sunday,Don't Yell At Me,Traditional Milk Tea,Boba,Milk
12/10/2023,December,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
12/14/2023,December,Thursday,Teaspoon,Lychee on Lychee,"Boba, Jelly",Fruit
12/23/2023,December,Saturday,Hey Tea,Brown Sugar Boba Milk Tea,Boba,Milk
12/28/2023,December,Thursday,Milksha,Oolong Milk Tea,Boba,Milk
12/31/2023,December,Sunday,Tpumps,"Passion Fruit, Guava, Pineapple Green Tea",Boba,Fruit
1/12/2024,January,Friday,Macu,Boba Milk Tea,Boba,Milk
1/13/2024,January,Saturday,Don't Yell At Me,Traditional Milk Tea,Boba,Milk
1/18/2024,January,Thursday,Seattle Best Tea,Mango Green Tea,Boba,Fruit
1/20/2024,January,Saturday,Boba Lust,House Milk Tea,"Boba, Jelly",Milk
1/27/2024,January,Saturday,Pink Pig,Green Milk Tea,Jelly,Milk
1/28/2024,January,Sunday,Orobae,Oolong Milk Tea,Boba,Milk
2/3/2024,February,Saturday,TP Tea,Strawberry Matcha Latte,Boba,Milk
2/10/2024,February,Saturday,Sunright,Boba Milk Tea,Boba,Milk
2/17/2024,February,Saturday,Moge Tee,Grapefruit Green Tea,Boba,Fruit
2/19/2024,February,Monday,TP Tea,QQ Milk Tea,"Boba, Jelly",Milk
